Description,Commenting,Ogling/Facial Expressions/Staring,Touching /Groping
"while i was walking to catch a train, i was amidst a throng of people waling at a snail like pace. suddenly this man beside makes his way through and legit just brushed his hand on my breast. i was in complete awareness and grabbed his hand and pushed him away.",0,0,1
DTC buses green line are not at all safe.,1,1,1
Cheap comments followed by clicking pictures,1,0,0
"Okay, so this incident happened last year i.e. 2015 when I'd finished my classes at Vashi and was heading towards the Vashi depot to take a bus to my place Kharghar, Navi Mumbai. So, I boarded a 504 numbered bus and took a ladies seat, window side! I was on a phone call, after a few minutes I realised that I was touched near my boobs from behind, for an instance, I thought it might just be the rod of the seat but later I realised it wasn't, it was somebody's hand trying to grab me up there. I caught hold of the man's hand right there, turned it, turned myself and abused him asking what he was upto, he was quite shocked, I am sure he wasn't expecting a girl to react that way, our men think we are scared of speaking out that way, but I did, I didn't fear. The bus conductor came to the site and pulled his shirt and put him down the bus. Well, this wasn't the only, later after 5 minutes, a man sat down beside me, he started touching my thigh, I bursted out on him even madly as it was just 5 minutes back that the first one had happened, I turned towards him, without giving a second thought, I literally slapped him, abused him again, I was angry, angry to what was happening with me, the people there in the bus hit him and even he was put down. So this happened, I didn't hesitate to do whatever I did,  it was necessary!I thought, my misery ended, but there was another lecher who was staring at me for most of the time. I complained to the conductor and forced him out of the bus too.",0,0,1
"while , i was in hotel . it was boudha. sidharth hallopposite. i was with my sisters and we went. there to enjoy or eat food. one old man started to  me . i looked himm but he was leaving to stare me.",0,1,0
teacher beating student to give him the sister phone number and touches their bodies so that they are not caned and had sexual relation ship with a minor,0,0,0
It was on a fateful Monday last year in a small village called Bova.The victim who was a young girl was strolling and suddenly a guy came from no where holding a knife and asked the girl to pull off her clothes or else he would be forced to do it.When the girl refused the guy hold her close and the innocent girl shouted but was raped by the young guy that night,0,0,0
a group of men were whistling at me as I was on my way to church but I decided to ignore them,0,0,0
When I was passing through Ratnapark for my father's office. One guy was staring me and his facial expression was disgusting. I looked at him angrily and then he went away.,0,1,0
when she was going home some boys were harassing her by touching her breasts and the girl could not do anything.,0,0,1
"Touching, groping",0,0,1
in buses heading to noida,1,0,0
I was going with my male friend in the evening and there was a group of boys and they started whistling and commenting.,1,0,0
a group of guys trying to push me in the crowd,0,0,1
I was going to fetch water near our home and a white man came and pulled me while touching my breast but I managed to escape,0,0,1
When I traveling in the bus a guy touched me in an uncomfortable way. He did this twice and it happened again then I asked him to stop.,0,0,1
Catcalling in public transport,0,0,0
"When I was returning from coaching around 6 pm , two boys from their Kavi nagar on bike passed a comment   firstly I ignored but then they started following me and they continuously asked me my personal details I refused to tell then I took out mobile phone from my pocket then they went from they but 23 days they continuously stalked me",0,0,0
purposely making noises to attract attention and then annoying,0,1,0
some boys always follow girls to their homes without them knowing,0,0,0
"During evening , while walking with my friend, my friend was being commented upon .",1,0,0
A man was staring.,0,1,0
There was lots of comments and whistles while I was travelling during evening .,1,0,0
I was stared at and whistled at when I was wearing shorts in Kalkaji,0,1,0
illegal pedicab cyclists harass non local pedestrians by attempting to imitate their speech,1,0,0
"At a dinner meeting, my uncle called me to his room and touched me inappropriately, I fled from there.",1,0,1
"My 86 year old mother was attacked by a chain snatcher in our building on 3 December 2012. In the scuffle, she fell down and fractured her thigh bone.",0,0,0
"commenting,ogling which means nonverbal and verbal sexual harassment is a common  thing for every girl,and ignoring is only solution. remembering such kind of thing and mentioning are not possible but they are common",1,1,0
BIKERS SNATCHED CHAIN,0,0,0
A boy who was walking was staring and a girl and also commented on her.It happened in the evening.,0,0,0
I was going to fetch water and some boy was whistling at me but I ignored,0,0,0
ONE Gurl near to my maternal uncle house was been harassed by few boys. They were grp. the girl remain quite and didn't took any action as a result she was gang raped by 3 boys and died on the hospital. it was very sad news to whole society and shameless act.,0,0,0
One man standing near me tried to to touch me pretending as if he was checking his pocket. I exchanged my seat with my friend then he went little bit far.,0,0,1
Inappropriate and dangerous behaviour.,1,0,0
"A man was cought having sex with a young girl,he called his friend and told him to loc the door from outside",0,0,0
Guys constantly stalking and staring at women and passing obscene comments at CCD Connaught Place,1,1,0
She works as HR and during night journeys she feels unsafe.,0,0,1
"I am a 15 years old boy. a year ago i was stalked by the group of people who robbed my cell phone, money etc",0,0,0
"I was alone at my rented room,my husband had night duty,somebody knew this and the person threw stone on my door, i was scared and next day I told this to my landlord.",0,0,0
